country,beer_servings
Albania,89
Andorra,245
Armenia,21
Austria,279
Azerbaijan,21
Belarus,142
Belgium,295
Bosnia-Herzegovina,76
Bulgaria,231
Croatia,230
Cyprus,192
Czech Republic,361
Denmark,224
Estonia,224
Finland,263
France,127
Georgia,52
Germany,346
Greece,133
Hungary,234
Iceland,233
Ireland,313
Italy,85
Latvia,281
Lithuania,343
Luxembourg,236
Malta,149
Monaco,0
Montenegro,31
Netherlands,251
Norway,169
Poland,343
Portugal,194
Moldova,109
Romania,297
San Marino,0
Serbia,283
Slovakia,196
Slovenia,270
Spain,284
Sweden,152
Switzerland,185
Macedonia,106
Ukraine,206
United Kingdom,219
